Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9164,1850 February 12,6:29:37,A,0.9345,11.0S,85.6E
9165,1850 August 7,21:33:54,T,1.0769,17.7N,141.8W
9166,1851 February 1,5:54:27,A,0.9175,56.4S,106.9E
9167,1851 July 28,14:33:42,T,1.0577,68.0N,19.6W
9168,1852 January 21,7:12:16,P,0.4577,68.9S,124.3W
9169,1852 June 17,16:59:50,P,0.7828,65.6S,57.3W
9170,1852 December 11,3:40:44,T,1.0237,35.2N,133.9E
9171,1853 June 6,20:07:21,A,0.9486,1.5N,117.9W
9172,1853 November 30,19:15:39,T,1.0485,12.0S,109.0W
9173,1854 May 26,20:42:53,A,0.9551,43.3N,140.1W
9174,1854 November 20,9:56:58,H3,1.0144,48.9S,12.7E
9175,1855 May 16,2:01:12,P,0.7624,62.9N,16.6E
9176,1855 November 9,19:17:51,P,0.4892,62.5S,121.0E
9177,1856 April 5,6:01:01,T,1.0539,39.1S,119.2E
9178,1856 September 29,3:59:44,A,0.9246,54.3N,169.1E
9179,1857 March 25,22:29:38,T,1.0534,2.4S,153.4W
9180,1857 September 18,5:36:05,A,0.9659,11.6N,100.0E
9181,1858 March 15,12:05:28,A,0.9996,32.7N,20.9W
9182,1858 September 7,14:09:29,T,1.021,23.9S,49.8W
9183,1859 February 3,1:22:42,Pe,0.0077,62.4S,72.1W
9184,1859 March 4,18:54:49,P,0.2461,61.2N,178.8W
9185,1859 July 29,21:56:57,P,0.5205,63.0N,16.0W
9186,1859 August 28,5:02:00,P,0.5261,61.5S,33.7E
9187,1860 January 23,0:27:31,A,0.9168,71.8S,117.2W
9188,1860 July 18,14:26:24,T,1.05,52.5N,20.3W
9189,1861 January 11,3:29:23,A,0.9664,31.8S,132.7E
9190,1861 July 8,2:10:26,A,0.9979,10.0N,145.8E
9191,1861 December 31,13:49:06,T,1.0186,7.8N,31.6W
9192,1862 June 27,6:42:21,P,0.9222,65.4S,60.8E
9193,1862 November 21,18:29:48,P,0.058,68.8S,99.1E
9194,1862 December 21,4:53:03,P,0.7016,66.0N,93.6E
9195,1863 May 17,17:00:45,P,0.8606,69.2N,126.8E
9196,1863 November 11,8:09:03,A,0.9943,75.4S,15.1E
9197,1864 May 6,0:16:48,H,1.0146,31.6N,171.5E
9198,1864 October 30,15:30:31,A,0.9514,24.3S,59.3W
9199,1865 April 25,14:08:34,T,1.0584,14.8S,25.8W
9200,1865 October 19,16:21:14,A,0.9263,21.3N,60.2W
9201,1866 March 16,21:51:25,P,0.2114,72.0N,129.2E
9202,1866 April 15,6:51:40,P,0.6637,71.4S,136.6E
9203,1866 October 8,16:44:22,P,0.5693,71.9N,3.0W
9204,1867 March 6,9:46:48,A,0.9787,42.3N,18.4E
9205,1867 August 29,13:13:07,T,1.0344,41.1S,34.9W
9206,1868 February 23,14:21:31,A,0.9348,6.1S,33.0W
9207,1868 August 18,5:12:10,Tm,1.0756,10.6N,102.2E
9208,1869 February 11,13:46:39,A,0.9201,51.3S,9.7W
9209,1869 August 7,22:01:05,T,1.0551,59.1N,133.2W
9210,1870 January 31,15:26:25,P,0.4781,69.9S,100.0E
9211,1870 June 28,23:46:43,P,0.6335,66.6S,169.4W
9212,1870 July 28,11:02:31,Pb,0.0742,69.2N,170.9E
9213,1870 December 22,12:27:33,T,1.0248,35.7N,1.5W
9214,1871 June 18,2:35:01,A,0.9481,3.5S,144.7E
9215,1871 December 12,4:03:38,T,1.0465,12.7S,119.4E
9216,1872 June 6,3:20:03,A,0.959,40.5N,124.8E
9217,1872 November 30,18:29:33,H,1.0099,51.2S,111.8W
9218,1873 May 26,9:08:56,P,0.8971,63.7N,99.6W
9219,1873 November 20,3:22:52,P,0.5138,63.2S,9.5W
9220,1874 April 16,14:00:53,T,1.0569,39.9S,0.9W
9221,1874 October 10,11:13:33,An,0.9193,58.6N,72.0E
9222,1875 April 6,6:37:26,T,1.0547,0.2S,84.8E
9223,1875 September 29,12:58:09,A,0.9656,10.0N,10.1W
9224,1876 March 25,20:05:06,A,0.9999,34.8N,141.1W
9225,1876 September 17,21:49:15,T,1.022,24.6S,164.5W
9226,1877 March 15,2:38:09,P,0.2917,61.0N,56.7E
9227,1877 August 9,5:30:24,P,0.3889,62.3N,138.6W
9228,1877 September 7,12:48:42,P,0.6382,61.2S,91.8W
9229,1878 February 2,8:27:52,A,0.9191,67.9S,122.4E
9230,1878 July 29,21:47:18,T,1.045,53.8N,124.0W
9231,1879 January 22,11:53:08,A,0.97,29.8S,8.5E
9232,1879 July 19,9:04:32,Am,0.9942,13.0N,42.9E
9233,1880 January 11,22:34:25,T,1.0212,8.3N,164.1W
9234,1880 July 7,13:10:28,A,0.9441,46.4S,33.4W
9235,1880 December 2,3:11:33,P,0.0369,67.8S,42.9W
9236,1880 December 31,13:45:01,P,0.7096,65.0N,49.5W
9237,1881 May 27,23:48:41,P,0.737,68.2N,13.3E
9238,1881 November 21,16:31:10,A,0.9887,81.2S,114.5W
9239,1882 May 17,7:36:27,T,1.02,38.4N,61.6E
9240,1882 November 10,23:22:21,A,0.9465,29.2S,177.0W
9241,1883 May 6,21:53:49,T,1.0634,8.1S,144.6W
9242,1883 October 30,23:50:54,A,0.9238,15.6N,174.9W
9243,1884 March 27,6:02:11,P,0.1436,72.0N,7.7W
9244,1884 April 25,14:46:17,P,0.7563,70.7S,4.6E
9245,1884 October 19,0:17:42,P,0.6385,71.5N,130.2W
9246,1885 March 16,17:45:43,A,0.9778,48.9N,106.1W
9247,1885 September 8,20:51:52,T,1.0332,49.6S,156.5W
9248,1886 March 5,22:05:26,A,0.9357,0.5S,150.1W
9249,1886 August 29,12:55:23,T,1.0735,3.5N,15.3W
9250,1887 February 22,21:33:04,A,0.9232,45.7S,126.5W
9251,1887 August 19,5:32:05,T,1.0518,50.6N,111.9E
9252,1888 February 11,23:38:15,P,0.5029,70.7S,35.7W
9253,1888 July 9,6:30:52,P,0.4832,67.6S,78.8E
9254,1888 August 7,18:05:46,P,0.1983,70.1N,53.0E
